Statistical profiling result from isolate-con-v8.log, (2432 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%        LazyCompile: ~MongoClient /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/mongo_client.js:60:16
      1  100.0%          LazyCompile: ~<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongoose/lib/connection.js:776:31
      1  100.0%            t node::fs::FileHandle::DoShutdown(node::ShutdownWrap*)::$_2::__invoke(uv_fs_s*)
      1    2.4%      LazyCompile: ~isIPv6 node:internal/net:35:16
      1  100.0%        LazyCompile: ~isIP node:internal/net:39:14
      1  100.0%          LazyCompile: ~parseSslOptions /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/cmap/connect.js:211:25
      1  100.0%            LazyCompile: ~makeConnection /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/cmap/connect.js:227:24
      1    2.4%      LazyCompile: ~ServerResponse node:_http_server:178:24
      1  100.0%        LazyCompile: ~parserOnIncoming node:_http_server:852:26
      1  100.0%          LazyCompile: ~parserOnHeadersComplete node:_http_common:77:33
      1    2.4%      LazyCompile: ~SemVer /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/semver/classes/semver.js:8:15
      1  100.0%        LazyCompile: ~parse /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/semver/functions/parse.js:6:15
      1  100.0%          LazyCompile: ~module.exports.evaluate /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/@mapbox/node-pre-gyp/lib/util/versioning.js:277:35
      1  100.0%            LazyCompile: ~exports.find /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/@mapbox/node-pre-gyp/lib/pre-binding.js:17:24
      1    2.4%      LazyCompile: ~<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/cmap/connect.js:63:43
      1  100.0%        LazyCompile: ~prepareHandshakeDocument /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/cmap/connect.js:128:34
      1  100.0%          LazyCompile: ~performInitialHandshake /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/cmap/connect.js:47:33
      1  100.0%            LazyCompile: ~<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/cmap/connect.js:16:29
      1    2.4%      LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1  100.0%        Function: ^Module.require node:internal/modules/cjs/loader:997:36
      1  100.0%          Function: ^require node:internal/modules/cjs/helpers:101:31
      1  100.0%            Function: ~<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/faker/lib/locales/vi/index.js:1:1
      1    2.4%      LazyCompile: *<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/routes/info.js:21:25
      1  100.0%        Function: ^handle /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/router/layer.js:86:49
      1  100.0%          Function: ^next /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/router/route.js:114:16
      1  100.0%            Function: ^dispatch /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/router/route.js:98:45
      1    2.4%      Function: ^value node:internal/console/constructor:299:20
      1  100.0%        Function: ^value node:internal/console/constructor:320:20
      1  100.0%          Function: ^log node:internal/console/constructor:358:6
      1  100.0%            t node::fs::FileHandle::DoShutdown(node::ShutdownWrap*)::$_2::__invoke(uv_fs_s*)
      1    2.4%      Function: ^send /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/response.js:107:25
      1  100.0%        Function: ^json /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/response.js:239:25
      1  100.0%          Function: ^<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/routes/info.js:21:25
      1  100.0%            Function: ^handle /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/router/layer.js:86:49
      1    2.4%      Function: ^resetMaxAge /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express-session/session/session.js:58:68
      1  100.0%        Function: ^touch /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express-session/session/session.js:47:56
      1  100.0%          LazyCompile: ~end /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express-session/index.js:250:27
      1  100.0%            LazyCompile: ~send /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/response.js:107:25
      1    2.4%      Function: ^removeColors node:internal/util:76:22
      1  100.0%        Function: ^isBelowBreakLength node:internal/util/inspect:1740:28
      1  100.0%          Function: ^reduceToSingleString node:internal/util/inspect:1764:30
      1  100.0%            Function: ^formatRaw node:internal/util/inspect:796:19
      1    2.4%      Function: ^pipe /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/send/index.js:510:43
      1  100.0%        Function: ^serveStatic /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/serve-static/index.js:72:31
      1  100.0%          Function: ^handle /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            Function: ^trim_prefix /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/router/index.js:288:23
